IFlow Name,Source ID,Source_Flavor,Source_Type,Source_ParentFlavor,SourceParent_Flavor,TargetFlavor
LOIWCS03_CUSTOM__ERRORHANDLER,StartEvent_1,intermediatecatch,Event,,Process,GroovyScript
LOIWCS03_CUSTOM__ERRORHANDLER,CallActivity_2,GroovyScript,Activity,,Process,intermediatethrow
scrapConfirmation_CUSTOM_ERRORHANDLER,StartEvent_1,intermediatecatch,Event,,Process,GroovyScript
scrapConfirmation_CUSTOM_ERRORHANDLER,CallActivity_2,GroovyScript,Activity,,Process,intermediatethrow
BOMMAT05_CUSTOM_ERRORHANDLER,CallActivity_1,GroovyScript,Activity,,Process,intermediatethrow
BOMMAT05_CUSTOM_ERRORHANDLER,StartEvent_1,intermediatecatch,Event,,Process,GroovyScript
Z_LOIROU04_CUSTOM_ERRORHANDLER,CallActivity_1,GroovyScript,Activity,,Process,intermediatethrow
Z_LOIROU04_CUSTOM_ERRORHANDLER,StartEvent_1,intermediatecatch,Event,,Process,GroovyScript
yieldConfirmation_CUSTOM_ERRORHANDLER,StartEvent_1,intermediatecatch,Event,,Process,GroovyScript
yieldConfirmation_CUSTOM_ERRORHANDLER,CallActivity_2,GroovyScript,Activity,,Process,intermediatethrow
Z_MATMAS03_CUSTOM_ERRORHANDLER,StartEvent_1,intermediatecatch,Event,,Process,GroovyScript
Z_MATMAS03_CUSTOM_ERRORHANDLER,CallActivity_2,GroovyScript,Activity,,Process,intermediatethrow
componentAdd_CUSTOM_SERVICE,CallActivity_1,GroovyScript,Activity,,Process,Enricher
componentAdd_CUSTOM_SERVICE,StartEvent_1,intermediatecatch,Event,,Process,GroovyScript
componentAdd_CUSTOM_SERVICE,CallActivity_5,GroovyScript,Activity,,Process,GroovyScript
componentAdd_CUSTOM_SERVICE,CallActivity_4,Enricher,Activity,,Process,GroovyScript
componentAdd_CUSTOM_SERVICE,CallActivity_3,Enricher,Activity,,Process,GroovyScript
componentAdd_CUSTOM_SERVICE,CallActivity_2,GroovyScript,Activity,,Process,Enricher
componentAdd_CUSTOM_SERVICE,ServiceTask_1,ExternalCall,Activity,,Process,GroovyScript
componentAdd_CUSTOM_SERVICE,CallActivity_7,GroovyScript,Activity,,Process,ExternalCall
componentAdd_CUSTOM_SERVICE,CallActivity_6,GroovyScript,Activity,,Process,intermediatethrow
productionOrderComplete_CUSTOM_POSTSERVICE,CallActivity_5,Filter,Activity,,Process,GroovyScript
productionOrderComplete_CUSTOM_POSTSERVICE,CallActivity_4,GroovyScript,Activity,,Process,GroovyScript
productionOrderComplete_CUSTOM_POSTSERVICE,CallActivity_3,GroovyScript,Activity,,Process,GroovyScript
productionOrderComplete_CUSTOM_POSTSERVICE,CallActivity_2,GroovyScript,Activity,,Process,Filter
productionOrderComplete_CUSTOM_POSTSERVICE,CallActivity_9,Enricher,Activity,,Process,GroovyScript
productionOrderComplete_CUSTOM_POSTSERVICE,CallActivity_8,GroovyScript,Activity,,Process,XSLTMapping
productionOrderComplete_CUSTOM_POSTSERVICE,CallActivity_7,Enricher,Activity,,Process,GroovyScript
productionOrderComplete_CUSTOM_POSTSERVICE,CallActivity_6,GroovyScript,Activity,,Process,intermediatethrow
productionOrderComplete_CUSTOM_POSTSERVICE,CallActivity_1,XSLTMapping,Activity,,Process,GroovyScript
productionOrderComplete_CUSTOM_POSTSERVICE,StartEvent_1,intermediatecatch,Event,,Process,GroovyScript
productionOrderComplete_CUSTOM_POSTSERVICE,CallActivity_12,GroovyScript,Activity,,Process,Enricher
productionOrderComplete_CUSTOM_POSTSERVICE,CallActivity_11,GroovyScript,Activity,,Process,Enricher
productionOrderComplete_CUSTOM_POSTSERVICE,CallActivity_10,GroovyScript,Activity,,Process,GroovyScript
LOIPRO04_CUSTOM_ERRORHANDLER,StartEvent_1,intermediatecatch,Event,,Process,GroovyScript
LOIPRO04_CUSTOM_ERRORHANDLER,CallActivity_2,GroovyScript,Activity,,Process,intermediatethrow
Z_ZMNMAT03_CUSTOM_POSTSERVICE,CallActivity_1,Filter,Activity,,Process,intermediatethrow
Z_ZMNMAT03_CUSTOM_POSTSERVICE,StartEvent_1,intermediatecatch,Event,,Process,GroovyScript
Z_ZMNMAT03_CUSTOM_POSTSERVICE,CallActivity_2,GroovyScript,Activity,,Process,Filter
maintainInventory_CUSTOM_POSTSERVICE,CallActivity_5,Filter,Activity,,Process,GroovyScript
maintainInventory_CUSTOM_POSTSERVICE,CallActivity_4,GroovyScript,Activity,,Process,GroovyScript
maintainInventory_CUSTOM_POSTSERVICE,CallActivity_3,GroovyScript,Activity,,Process,GroovyScript
maintainInventory_CUSTOM_POSTSERVICE,CallActivity_2,GroovyScript,Activity,,Process,Filter
maintainInventory_CUSTOM_POSTSERVICE,CallActivity_9,Enricher,Activity,,Process,GroovyScript
maintainInventory_CUSTOM_POSTSERVICE,CallActivity_8,GroovyScript,Activity,,Process,XSLTMapping
maintainInventory_CUSTOM_POSTSERVICE,CallActivity_7,Enricher,Activity,,Process,GroovyScript
maintainInventory_CUSTOM_POSTSERVICE,CallActivity_6,GroovyScript,Activity,,Process,intermediatethrow
maintainInventory_CUSTOM_POSTSERVICE,CallActivity_1,XSLTMapping,Activity,,Process,GroovyScript
maintainInventory_CUSTOM_POSTSERVICE,StartEvent_1,intermediatecatch,Event,,Process,GroovyScript
maintainInventory_CUSTOM_POSTSERVICE,CallActivity_12,GroovyScript,Activity,,Process,Enricher
maintainInventory_CUSTOM_POSTSERVICE,CallActivity_11,GroovyScript,Activity,,Process,Enricher
maintainInventory_CUSTOM_POSTSERVICE,CallActivity_10,GroovyScript,Activity,,Process,GroovyScript
maintainInventory_CUSTOM_SERVICE,CallActivity_1,GroovyScript,Activity,,Process,Enricher
maintainInventory_CUSTOM_SERVICE,StartEvent_1,intermediatecatch,Event,,Process,GroovyScript
